Name,Age (that year),Nationality,Position,Market Value,Season,League,Team
Ramón Cardozo,"Apr 23, 1986 (28)",Paraguay,Centre-Forward,€1.00m,2013,Portuguese First Division,Vitória Setúbal
Rafael Martins,"Mar 17, 1989 (25)",Brazil,Centre-Forward,€500k,2013,Portuguese First Division,Vitória Setúbal
Ricardo Nunes,"Jul 6, 1982 (31)",Portugal,Goalkeeper,€1.50m,2013,Portuguese First Division,Académica
Romuald Peiser,"Aug 3, 1979 (34)","France""",Goalkeeper,€500k,2013,Portuguese First Division,Académica
Fábio Santos,"Nov 14, 1992 (21)",Portugal,Goalkeeper,€100k,2013,Portuguese First Division,Académica
Aníbal Capela,"May 8, 1991 (23)",Portugal,Centre-Back,€1.30m,2013,Portuguese First Division,Académica
Rafik Halliche,"Sep 2, 1986 (27)",Algeria,Centre-Back,€800k,2013,Portuguese First Division,Académica
Reiner Ferreira,"Nov 17, 1985 (28)",Brazil,Centre-Back,€800k,2013,Portuguese First Division,Académica
João Real,"May 13, 1983 (31)",Portugal,Centre-Back,€500k,2013,Portuguese First Division,Académica
Djavan,"Dec 31, 1987 (26)",Brazil,Left-Back,€700k,2013,Portuguese First Division,Académica
João Dias,"Dec 23, 1986 (27)",Portugal,Right-Back,€700k,2013,Portuguese First Division,Académica
Marcelo Goiano,"Oct 13, 1987 (26)",Brazil,Right-Back,€500k,2013,Portuguese First Division,Académica
Fernando Alexandre,"Aug 2, 1985 (28)",Portugal,Defensive Midfield,€1.50m,2013,Portuguese First Division,Académica
Makelele,"Feb 26, 1985 (29)",Brazil,Defensive Midfield,€1.00m,2013,Portuguese First Division,Académica
Paulo Grilo,"Aug 19, 1991 (22)",Portugal,Defensive Midfield,€400k,2013,Portuguese First Division,Académica
John Ogu,"Apr 20, 1988 (26)",Nigeria,Central Midfield,€1.00m,2013,Portuguese First Division,Académica
Marcos Paulo,"Jul 13, 1988 (25)","Brazil""",Central Midfield,€800k,2013,Portuguese First Division,Académica
Bruno China,"Aug 5, 1982 (31)",Portugal,Central Midfield,€700k,2013,Portuguese First Division,Académica
Nuno Piloto,"Mar 19, 1982 (32)",Portugal,Central Midfield,€600k,2013,Portuguese First Division,Académica
Cleyton,"Feb 24, 1990 (24)",Brazil,Attacking Midfield,€1.00m,2013,Portuguese First Division,Académica
Liban Abdi,"Oct 5, 1988 (25)",Norway,Left Winger,€800k,2013,Portuguese First Division,Académica
Diogo Valente,"Sep 23, 1984 (29)",Portugal,Left Winger,€700k,2013,Portuguese First Division,Académica
Magique,"Jan 21, 1993 (21)",Cote d'Ivoire,Left Winger,€300k,2013,Portuguese First Division,Académica
Salvador Agra,"Nov 11, 1991 (22)",Portugal,Right Winger,€1.40m,2013,Portuguese First Division,Académica
Marinho,"Apr 26, 1983 (31)",Portugal,Right Winger,€1.10m,2013,Portuguese First Division,Académica
Ivanildo,"Jan 9, 1986 (28)","Guinea-Bissau""",Right Winger,€600k,2013,Portuguese First Division,Académica
Rafa Lopes,"Jul 28, 1991 (22)",Portugal,Second Striker,€1.30m,2013,Portuguese First Division,Académica
Manoel,"Feb 1, 1989 (25)",Brazil,Centre-Forward,€1.20m,2013,Portuguese First Division,Académica
Bédi Buval,"Jun 16, 1986 (28)","Martinique""",Centre-Forward,€300k,2013,Portuguese First Division,Académica
Moussa Gueye,"Feb 20, 1989 (25)",Senegal,Centre-Forward,€300k,2013,Portuguese First Division,Académica
Rafael Oliveira,"Jul 6, 1987 (26)",Brazil,Centre-Forward,€300k,2013,Portuguese First Division,Académica
Eduardo,"Sep 19, 1982 (31)",Portugal,Goalkeeper,€3.50m,2013,Portuguese First Division,Braga
Cristiano Figueiredo,"Nov 29, 1990 (23)","Portugal""",Goalkeeper,€600k,2013,Portuguese First Division,Braga
Rafa Alves,"Jan 4, 1994 (20)",Portugal,Goalkeeper,-,2013,Portuguese First Division,Braga
Aderllan Santos,"Apr 9, 1989 (25)","Brazil""",Centre-Back,€6.00m,2013,Portuguese First Division,Braga
Paulo Vinícius,"Aug 12, 1984 (29)","Brazil""",Centre-Back,€4.00m,2013,Portuguese First Division,Braga
Nuno André Coelho,"Jan 7, 1986 (28)",Portugal,Centre-Back,€3.50m,2013,Portuguese First Division,Braga
Vincent Sasso,"Feb 16, 1991 (23)",France,Centre-Back,€2.50m,2013,Portuguese First Division,Braga
André Pinto,"Oct 5, 1989 (24)",Portugal,Centre-Back,€1.00m,2013,Portuguese First Division,Braga
Aleksandar Miljkovic,"Feb 26, 1990 (24)",Serbia,Centre-Back,€750k,2013,Portuguese First Division,Braga
Kadu,"Jul 20, 1986 (27)",Brazil,Centre-Back,€250k,2013,Portuguese First Division,Braga
Hebert,"May 23, 1991 (23)","Brazil""",Centre-Back,€250k,2013,Portuguese First Division,Braga
Elderson,"Jan 20, 1988 (26)",Nigeria,Left-Back,€3.00m,2013,Portuguese First Division,Braga
Joãozinho,"Jul 2, 1989 (24)",Portugal,Left-Back,€2.00m,2013,Portuguese First Division,Braga
Núrio Fortuna,"Mar 24, 1995 (19)","Angola""",Left-Back,€200k,2013,Portuguese First Division,Braga
Baiano,"Feb 23, 1987 (27)",Brazil,Right-Back,€3.20m,2013,Portuguese First Division,Braga
Tomas Dabo,"Oct 20, 1993 (20)","Guinea-Bissau""",Right-Back,€2.00m,2013,Portuguese First Division,Braga
Custódio,"May 24, 1983 (31)",Portugal,Defensive Midfield,€3.00m,2013,Portuguese First Division,Braga
Mauro,"Oct 31, 1990 (23)",Brazil,Defensive Midfield,€3.00m,2013,Portuguese First Division,Braga
Rodrigo Battaglia,"Jul 12, 1991 (22)","Argentina""",Defensive Midfield,€1.60m,2013,Portuguese First Division,Braga
Nikola Vukcevic,"Dec 13, 1991 (22)",Montenegro,Defensive Midfield,-,2013,Portuguese First Division,Braga
Rúben Micael,"Aug 19, 1986 (27)",Portugal,Central Midfield,€6.00m,2013,Portuguese First Division,Braga
Luíz Carlos,"Jul 5, 1985 (28)",Brazil,Central Midfield,€3.50m,2013,Portuguese First Division,Braga
Luís Silva,"Sep 29, 1992 (21)",Portugal,Central Midfield,€1.50m,2013,Portuguese First Division,Braga
Chidi Osuchukwu,"Oct 11, 1993 (20)",Nigeria,Central Midfield,€450k,2013,Portuguese First Division,Braga
João Patrão,"Jan 22, 1990 (24)",Portugal,Central Midfield,€350k,2013,Portuguese First Division,Braga
Nuno Valente,"Nov 22, 1991 (22)",Portugal,Central Midfield,€300k,2013,Portuguese First Division,Braga
Rafa,"May 17, 1993 (21)",Portugal,Left Winger,€4.00m,2013,Portuguese First Division,Braga
João Pedro,"May 4, 1986 (28)",Portugal,Right Winger,€2.00m,2013,Portuguese First Division,Braga
Alan,"Sep 19, 1979 (34)","Brazil""",Right Winger,€1.50m,2013,Portuguese First Division,Braga
Felipe Pardo,"Aug 17, 1990 (23)",Colombia,Right Winger,€1.50m,2013,Portuguese First Division,Braga
Salvador Agra,"Nov 11, 1991 (22)",Portugal,Right Winger,€1.40m,2013,Portuguese First Division,Braga
Leandro Kappel,"Nov 14, 1989 (24)","Suriname""",Right Winger,€400k,2013,Portuguese First Division,Braga
Piqueti,"Feb 12, 1993 (21)","Guinea-Bissau""",Right Winger,€250k,2013,Portuguese First Division,Braga
Eri,"Feb 8, 1994 (20)","Portugal""",Right Winger,€150k,2013,Portuguese First Division,Braga
Éder,"Dec 22, 1987 (26)","Portugal""",Centre-Forward,€8.00m,2013,Portuguese First Division,Braga
Raul Rusescu,"Jul 9, 1988 (25)",Romania,Centre-Forward,€3.00m,2013,Portuguese First Division,Braga
Yazalde,"Sep 21, 1988 (25)","Portugal""",Centre-Forward,€2.30m,2013,Portuguese First Division,Braga
Hugo Vieira,"Jul 25, 1988 (25)",Portugal,Centre-Forward,€2.00m,2013,Portuguese First Division,Braga
Edinho,"Jul 7, 1982 (31)","Portugal""",Centre-Forward,€2.00m,2013,Portuguese First Division,Braga
Érick Moreno,"Nov 24, 1991 (22)",Colombia,Centre-Forward,€1.00m,2013,Portuguese First Division,Braga
Diogo Ribeiro,"Jan 14, 1991 (23)",Portugal,Centre-Forward,€350k,2013,Portuguese First Division,Braga
Douglas Jesus,"Mar 9, 1983 (31)",Brazil,Goalkeeper,€1.20m,2013,Portuguese First Division,Vitória
Assis,"Oct 4, 1989 (24)","Brazil""",Goalkeeper,€500k,2013,Portuguese First Division,Vitória
Miguel Oliveira,"May 25, 1994 (20)",Portugal,Goalkeeper,€50k,2013,Portuguese First Division,Vitória
Abdoulaye Ba,"Jan 1, 1991 (23)","Senegal""",Centre-Back,€3.00m,2013,Portuguese First Division,Vitória
Paulo Oliveira,"Jan 8, 1992 (22)",Portugal,Centre-Back,€3.00m,2013,Portuguese First Division,Vitória
Josué Sá,"Jun 17, 1992 (22)",Portugal,Centre-Back,€1.00m,2013,Portuguese First Division,Vitória
Moreno,"Aug 19, 1981 (32)",Portugal,Centre-Back,€1.00m,2013,Portuguese First Division,Vitória
Freire,"Aug 21, 1989 (24)",Brazil,Centre-Back,€500k,2013,Portuguese First Division,Vitória
Rafa Vieira,"Jul 9, 1992 (21)",Portugal,Centre-Back,€150k,2013,Portuguese First Division,Vitória
Jean Pablo,"Aug 26, 1988 (25)",Brazil,Centre-Back,€100k,2013,Portuguese First Division,Vitória
João Afonso,"May 28, 1990 (24)",Portugal,Centre-Back,-,2013,Portuguese First Division,Vitória
David Addy,"Feb 21, 1990 (24)",Ghana,Left-Back,€1.50m,2013,Portuguese First Division,Vitória
Luís Rocha,"Jun 27, 1993 (21)",Portugal,Left-Back,€1.00m,2013,Portuguese First Division,Vitória
Pedro Correia,"Mar 27, 1987 (27)",Portugal,Right-Back,€700k,2013,Portuguese First Division,Vitória
João Amorim,"Jul 26, 1992 (21)",Portugal,Right-Back,€500k,2013,Portuguese First Division,Vitória
Kanú,"Mar 5, 1992 (22)",Brazil,Right-Back,€400k,2013,Portuguese First Division,Vitória
Leonel Olímpio,"Jul 7, 1982 (31)","Brazil""",Defensive Midfield,€1.80m,2013,Portuguese First Division,Vitória
André Santos,"Mar 2, 1989 (25)",Portugal,Defensive Midfield,€1.80m,2013,Portuguese First Division,Vitória
André André,"Aug 26, 1989 (24)",Portugal,Central Midfield,€1.80m,2013,Portuguese First Division,Vitória
Jean Barrientos,"Sep 16, 1990 (23)",Uruguay,Central Midfield,€1.50m,2013,Portuguese First Division,Vitória
Cafú,"Feb 26, 1993 (21)","Portugal""",Central Midfield,€300k,2013,Portuguese First Division,Vitória
João Pedro,"Apr 3, 1993 (21)",Portugal,Central Midfield,€100k,2013,Portuguese First Division,Vitória
Tiago Rodrigues,"Jan 29, 1992 (22)",Portugal,Attacking Midfield,€1.70m,2013,Portuguese First Division,Vitória
Rafael Crivellaro,"Feb 18, 1989 (25)","Brazil""",Attacking Midfield,€700k,2013,Portuguese First Division,Vitória
Bernard Mensah,"Oct 17, 1994 (19)",Ghana,Attacking Midfield,-,2013,Portuguese First Division,Vitória
Marco Matias,"May 10, 1989 (25)",Portugal,Left Winger,€2.00m,2013,Portuguese First Division,Vitória
Chris Malonga,"Jul 11, 1987 (26)","Congo""",Left Winger,€1.20m,2013,Portuguese First Division,Vitória
Nii Plange,"Jun 26, 1989 (25)",Burkina Faso,Left Winger,€800k,2013,Portuguese First Division,Vitória
Alex,"Aug 27, 1991 (22)",Portugal,Left Winger,€700k,2013,Portuguese First Division,Vitória
Hernâni,"Aug 20, 1991 (22)","Portugal""",Left Winger,€50k,2013,Portuguese First Division,Vitória
Moussa Maazou,"Aug 25, 1988 (25)",Niger,Centre-Forward,€2.00m,2013,Portuguese First Division,Vitória
Tomané,"Oct 23, 1992 (21)",Portugal,Centre-Forward,€1.00m,2013,Portuguese First Division,Vitória
Ricardo Gomes,"Dec 18, 1991 (22)",Cape Verde,Centre-Forward,€200k,2013,Portuguese First Division,Vitória
Fernando Russi,"Apr 21, 1989 (25)",Brazil,Centre-Forward,€100k,2013,Portuguese First Division,Vitória
Isaac Cissé,"Feb 3, 1994 (20)",Cote d'Ivoire,Centre-Forward,-,2013,Portuguese First Division,Vitória
Romain Salin,"Jul 29, 1984 (29)",France,Goalkeeper,€1.70m,2013,Portuguese First Division,Rio Ave
Hugo Ventura,"Jan 14, 1988 (26)",Portugal,Goalkeeper,€500k,2013,Portuguese First Division,Rio Ave
Ederson,"Aug 17, 1993 (20)","Brazil""",Goalkeeper,€300k,2013,Portuguese First Division,Rio Ave
Stanislav Kritsyuk,"Dec 1, 1990 (23)",Russia,Goalkeeper,€200k,2013,Portuguese First Division,Rio Ave
Rúben Alfaiate,"Aug 17, 1995 (18)",Portugal,Goalkeeper,-,2013,Portuguese First Division,Rio Ave
Alberto Rodríguez,"Mar 31, 1984 (30)",Peru,Centre-Back,€1.80m,2013,Portuguese First Division,Rio Ave
Marcelo,"Jul 27, 1989 (24)","Brazil""",Centre-Back,€1.50m,2013,Portuguese First Division,Rio Ave
Roderick Miranda,"Mar 30, 1991 (23)","Portugal""",Centre-Back,€1.00m,2013,Portuguese First Division,Rio Ave
Jeferson,"Jan 15, 1986 (28)",Brazil,Centre-Back,€1.00m,2013,Portuguese First Division,Rio Ave
Nélson Monte,"Jul 20, 1995 (18)",Portugal,Centre-Back,-,2013,Portuguese First Division,Rio Ave
Silvério,"Dec 26, 1995 (18)",Portugal,Centre-Back,-,2013,Portuguese First Division,Rio Ave
Edimar,"May 21, 1986 (28)",Brazil,Left-Back,€1.00m,2013,Portuguese First Division,Rio Ave
Tiago Pinto,"Feb 1, 1988 (26)",Portugal,Left-Back,€800k,2013,Portuguese First Division,Rio Ave
André Dias,"Apr 18, 1992 (22)",Portugal,Left-Back,€500k,2013,Portuguese First Division,Rio Ave
Lionn,"Jan 29, 1989 (25)","Portugal""",Right-Back,€1.00m,2013,Portuguese First Division,Rio Ave
Nuno Lopes,"Dec 19, 1986 (27)",Portugal,Right-Back,€500k,2013,Portuguese First Division,Rio Ave
Fabinho,"Oct 23, 1993 (20)",Brazil,Defensive Midfield,€3.00m,2013,Portuguese First Division,Rio Ave
Filipe Augusto,"Aug 12, 1993 (20)",Brazil,Defensive Midfield,€2.00m,2013,Portuguese First Division,Rio Ave
Gus Ledes,"Sep 28, 1992 (21)","Portugal""",Defensive Midfield,€1.00m,2013,Portuguese First Division,Rio Ave
Alhassan Wakaso,"Jan 7, 1992 (22)","Ghana""",Defensive Midfield,€700k,2013,Portuguese First Division,Rio Ave
André Vilas Boas,"Jun 4, 1983 (31)",Portugal,Defensive Midfield,€500k,2013,Portuguese First Division,Rio Ave
William Soares,"Dec 30, 1988 (25)",Brazil,Defensive Midfield,€200k,2013,Portuguese First Division,Rio Ave
Tarantini,"Oct 7, 1983 (30)",Portugal,Central Midfield,€2.20m,2013,Portuguese First Division,Rio Ave
Júlio Alves,"Jun 29, 1991 (23)","Portugal""",Central Midfield,€700k,2013,Portuguese First Division,Rio Ave
Braga,"Jun 17, 1983 (31)",Portugal,Attacking Midfield,€1.50m,2013,Portuguese First Division,Rio Ave
Diego Lopes,"May 3, 1994 (20)",Brazil,Attacking Midfield,€1.30m,2013,Portuguese First Division,Rio Ave
Rúben Ribeiro,"Aug 1, 1987 (26)",Portugal,Attacking Midfield,€800k,2013,Portuguese First Division,Rio Ave
Rafa Miranda,"Jan 23, 1996 (18)",Portugal,Attacking Midfield,-,2013,Portuguese First Division,Rio Ave
Yonathan Del Valle,"May 28, 1990 (24)",Venezuela,Left Winger,€800k,2013,Portuguese First Division,Rio Ave
Tiago Silva,"Jan 21, 1992 (22)",Portugal,Left Winger,-,2013,Portuguese First Division,Rio Ave
Ernest Ohemeng,"Jan 17, 1996 (18)",Ghana,Left Winger,-,2013,Portuguese First Division,Rio Ave
Ukra,"Mar 16, 1988 (26)",Portugal,Right Winger,€2.00m,2013,Portuguese First Division,Rio Ave
Pedro Santos,"Apr 22, 1988 (26)",Portugal,Right Winger,€500k,2013,Portuguese First Division,Rio Ave
Renato Santos,"Oct 5, 1991 (22)",Portugal,Right Winger,€300k,2013,Portuguese First Division,Rio Ave
Ahmed Hassan,"Mar 5, 1993 (21)","Egypt""",Centre-Forward,€1.50m,2013,Portuguese First Division,Rio Ave
Ronny,"Feb 25, 1983 (31)",Brazil,Centre-Forward,€800k,2013,Portuguese First Division,Rio Ave
Esmaël Gonçalves,"Jun 25, 1991 (23)","Guinea-Bissau""",Centre-Forward,€750k,2013,Portuguese First Division,Rio Ave
Etien Velikonja,"Dec 26, 1988 (25)",Slovenia,Centre-Forward,€500k,2013,Portuguese First Division,Rio Ave
Joeano,"Aug 12, 1979 (34)","Brazil""",Centre-Forward,€500k,2013,Portuguese First Division,Rio Ave
Sandro Lima,"Oct 28, 1990 (23)",Brazil,Centre-Forward,€200k,2013,Portuguese First Division,Rio Ave
Igor Stefanovic,"Apr 12, 1988 (26)",Serbia,Goalkeeper,€800k,2013,Portuguese First Division,Arouca
Cássio,"Aug 12, 1980 (33)","Brazil""",Goalkeeper,€500k,2013,Portuguese First Division,Arouca
Rui Sacramento,"Jan 31, 1985 (29)",Portugal,Goalkeeper,€300k,2013,Portuguese First Division,Arouca
Igor Rocha,"Mar 4, 1993 (21)",Portugal,Goalkeeper,€100k,2013,Portuguese First Division,Arouca
Mika,"Sep 26, 1987 (26)","Portugal""",Centre-Back,€900k,2013,Portuguese First Division,Arouca
Ustaritz,"Feb 16, 1983 (31)",Spain,Centre-Back,€700k,2013,Portuguese First Division,Arouca
Henrique,"Oct 19, 1986 (27)",Portugal,Centre-Back,€500k,2013,Portuguese First Division,Arouca
Diego Galo,"Jan 14, 1984 (30)","Brazil""",Centre-Back,€500k,2013,Portuguese First Division,Arouca
Miguel Oliveira,"Aug 18, 1983 (30)",Portugal,Centre-Back,€400k,2013,Portuguese First Division,Arouca
Stéphane Dasse,"Jul 5, 1989 (24)",Burkina Faso,Left-Back,€350k,2013,Portuguese First Division,Arouca
Luís Tinoco,"Oct 17, 1986 (27)",Portugal,Left-Back,€300k,2013,Portuguese First Division,Arouca
Iván Balliu,"Jan 1, 1992 (22)","Albania""",Right-Back,€800k,2013,Portuguese First Division,Arouca
Luís Dias,"Jan 3, 1987 (27)",Portugal,Right-Back,€400k,2013,Portuguese First Division,Arouca
Nuno Coelho,"Nov 23, 1987 (26)",Portugal,Defensive Midfield,€1.00m,2013,Portuguese First Division,Arouca
William Soares,"Dec 30, 1988 (25)",Brazil,Defensive Midfield,€200k,2013,Portuguese First Division,Arouca
David Simão,"May 15, 1990 (24)","Portugal""",Central Midfield,€2.50m,2013,Portuguese First Division,Arouca
Bruno Amaro,"Feb 17, 1983 (31)",Portugal,Central Midfield,€1.00m,2013,Portuguese First Division,Arouca
Rui Sampaio,"May 29, 1987 (27)",Portugal,Central Midfield,€600k,2013,Portuguese First Division,Arouca
Stevan Kovacevic,"Jan 9, 1988 (26)",Serbia,Central Midfield,€300k,2013,Portuguese First Division,Arouca
Pintassilgo,"Jun 30, 1985 (29)",Portugal,Right Midfield,€600k,2013,Portuguese First Division,Arouca
Cristian Ceballos,"Dec 3, 1992 (21)",Spain,Attacking Midfield,€300k,2013,Portuguese First Division,Arouca
Serginho,"Feb 21, 1991 (23)",Portugal,Left Winger,€700k,2013,Portuguese First Division,Arouca
Hugo Monteiro,"May 9, 1985 (29)",Portugal,Left Winger,€250k,2013,Portuguese First Division,Arouca
Paulo Sérgio,"Jan 24, 1984 (30)",Portugal,Right Winger,€900k,2013,Portuguese First Division,Arouca
Salim Cissé,"Dec 24, 1992 (21)","Guinea""",Centre-Forward,€2.00m,2013,Portuguese First Division,Arouca
Lassad Nouioui,"Mar 8, 1986 (28)","Tunisia""",Centre-Forward,€1.00m,2013,Portuguese First Division,Arouca
Roberto,"Nov 28, 1988 (25)",Portugal,Centre-Forward,€600k,2013,Portuguese First Division,Arouca
André Claro,"Mar 31, 1991 (23)",Portugal,Centre-Forward,€500k,2013,Portuguese First Division,Arouca
Romário,"Jan 15, 1992 (22)",Brazil,Centre-Forward,€300k,2013,Portuguese First Division,Arouca
Adriano Facchini,"Mar 12, 1983 (31)","Brazil""",Goalkeeper,€1.00m,2013,Portuguese First Division,Gil Vicente
Caleb Patterson-Sewell,"May 20, 1987 (27)",United States,Goalkeeper,€400k,2013,Portuguese First Division,Gil Vicente
Halisson,"Jun 28, 1985 (29)",Brazil,Centre-Back,€900k,2013,Portuguese First Division,Gil Vicente
Maximilian Haas,"Dec 7, 1985 (28)",Germany,Centre-Back,€750k,2013,Portuguese First Division,Gil Vicente
Danielson,"Jan 9, 1981 (33)","Brazil""",Centre-Back,€600k,2013,Portuguese First Division,Gil Vicente
Daniel,"Mar 29, 1987 (27)",Portugal,Centre-Back,€500k,2013,Portuguese First Division,Gil Vicente
Pecks,"Apr 10, 1989 (25)",Cape Verde,Centre-Back,€500k,2013,Portuguese First Division,Gil Vicente
Nélson Agra,"Jan 6, 1991 (23)",Portugal,Centre-Back,€100k,2013,Portuguese First Division,Gil Vicente
Luís Martins,"Jun 10, 1992 (22)",Portugal,Left-Back,€1.50m,2013,Portuguese First Division,Gil Vicente
Vítor Vinha,"Nov 11, 1986 (27)",Portugal,Left-Back,€400k,2013,Portuguese First Division,Gil Vicente
Gabriel Moura,"Jun 18, 1988 (26)","Brazil""",Right-Back,€700k,2013,Portuguese First Division,Gil Vicente
Éder Sciola,"Sep 25, 1985 (28)",Brazil,Right-Back,€500k,2013,Portuguese First Division,Gil Vicente
Alphousseyni Keita,"Nov 13, 1985 (28)",Mali,Defensive Midfield,€700k,2013,Portuguese First Division,Gil Vicente
Luan Scapolan,"Dec 30, 1988 (25)",Brazil,Defensive Midfield,€400k,2013,Portuguese First Division,Gil Vicente
Kódjo Alphonse,"May 28, 1993 (21)",Cote d'Ivoire,Defensive Midfield,€250k,2013,Portuguese First Division,Gil Vicente
Luís Silva,"Sep 29, 1992 (21)",Portugal,Central Midfield,€1.50m,2013,Portuguese First Division,Gil Vicente
Leandro Pimenta,"Jul 9, 1990 (23)",Portugal,Central Midfield,€500k,2013,Portuguese First Division,Gil Vicente
